Unnamed: 0,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College,csv_file
6,30.0,Norris Cole,PG,6-2,175,"October 13, 1988",us,1,Cleveland State University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
7,55.0,Josh Harrellson,C,6-10,275,"February 12, 1989",us,1,University of Kentucky,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
8,14.0,Terrel Harris,SG,6-5,190,"August 10, 1987",us,1,Oklahoma State University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
9,40.0,Udonis Haslem,PF,6-8,235,"June 9, 1980",us,9,University of Florida,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
10,5.0,Juwan Howard,PF,6-9,240,"February 7, 1973",us,18,University of Michigan,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
11,6.0,LeBron James,PF,6-8,250,"December 30, 1984",us,9,,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
12,22.0,James Jones,SF,6-8,218,"October 4, 1980",us,9,University of Miami,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
13,9.0,Rashard Lewis,PF,6-10,215,"August 8, 1979",us,14,,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
14,13.0,Mike Miller,SF,6-8,218,"February 19, 1980",us,12,University of Florida,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
15,45.0,Dexter Pittman,C,6-11,308,"March 2, 1988",us,2,University of Texas at Austin,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
16,24.0,Jarvis Varnado,PF,6-9,230,"March 1, 1988",us,R,Mississippi State University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
17,3.0,Dwyane Wade,SG,6-4,220,"January 17, 1982",us,9,Marquette University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
0,11.0,James Anderson,SF,6-6,213,"March 25, 1989",us,2,Oklahoma State University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
1,16.0,Aron Baynes,C,6-10,260,"December 9, 1986",nz,R,Washington State University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
2,45.0,DeJuan Blair,PF,6-7,270,"April 22, 1989",us,3,University of Pittsburgh,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
3,15.0,Matt Bonner,PF,6-10,235,"April 5, 1980",us,8,University of Florida,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
4,25.0,Nando De Colo,SG,6-5,200,"June 23, 1987",fr,R,,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
5,33.0,Boris Diaw,PF,6-8,250,"April 16, 1982",fr,9,,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
6,21.0,Tim Duncan,C,6-11,250,"April 25, 1976",vi,15,Wake Forest University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
7,20.0,Manu Gin�bili,SG,6-6,205,"July 28, 1977",ar,10,,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
8,4.0,Danny Green,SG,6-6,215,"June 22, 1987",us,3,University of North Carolina,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
9,3.0,Stephen Jackson,SF,6-8,218,"April 5, 1978",us,12,Butler County Community College,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
10,5.0,Cory Joseph,PG,6-3,193,"August 20, 1991",ca,1,University of Texas at Austin,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
11,2.0,Kawhi Leonard,SF,6-7,230,"June 29, 1991",us,1,San Diego State University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
12,1.0,Tracy McGrady,SF,6-8,210,"May 24, 1979",us,15,,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
13,8.0,Patty Mills,PG,6-0,180,"August 11, 1988",au,3,Saint Mary's College of California,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
14,14.0,Gary Neal,SG,6-4,210,"October 3, 1984",us,2,"La Salle University, Towson University",C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
15,9.0,Tony Parker,PG,6-2,185,"May 17, 1982",be,11,,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
16,22.0,Tiago Splitter,PF,6-11,245,"January 1, 1985",br,2,,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
0,14.0,D.J. Augustin,PG,6-0,183,"November 10, 1987",us,4,University of Texas at Austin,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
1,29.0,Jeff Ayres,PF,6-9,240,"April 29, 1987",us,2,Arizona State University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
2,24.0,Paul George,SF,6-9,220,"May 2, 1990",us,2,"California State University, Fresno",C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
3,33.0,Danny Granger,SF,6-9,222,"April 20, 1983",us,7,"Bradley University, University of New Mexico",C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
4,25.0,Gerald Green,SF,6-7,205,"January 26, 1986",us,5,,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
5,23.0,Ben Hansbrough,PG,6-3,203,"December 23, 1987",us,R,"Mississippi State University, University of Notre Dame",C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
6,50.0,Tyler Hansbrough,PF,6-9,250,"November 3, 1985",us,3,University of North Carolina,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
7,55.0,Roy Hibbert,C,7-2,270,"December 11, 1986",us,4,Georgetown University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
8,3.0,George Hill,PG,6-3,188,"May 4, 1986",us,4,Indiana University-Purdue University Indianapolis,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
9,11.0,Orlando Johnson,SG,6-5,220,"March 11, 1989",us,R,"Loyola Marymount University, University of California, Santa Barbara",C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
10,28.0,Ian Mahinmi,C,6-11,262,"November 5, 1986",fr,4,,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
11,5.0,Dominic McGuire,SF,6-9,220,"October 20, 1985",us,5,"University of California, California State University, Fresno",C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
12,13.0,Miles Plumlee,C,6-11,249,"September 1, 1988",us,R,Duke University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
13,1.0,Lance Stephenson,SG,6-6,230,"September 5, 1990",us,2,University of Cincinnati,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
14,21.0,David West,PF,6-9,250,"August 29, 1980",us,9,Xavier University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
15,4.0,Sam Young,SG,6-6,220,"June 1, 1985",us,3,University of Pittsburgh,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
0,9.0,Tony Allen,SG,6-4,213,"January 11, 1982",us,8,"Butler County Community College, Oklahoma State University",C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
1,0.0,Darrell Arthur,PF,6-9,235,"March 25, 1988",us,3,University of Kansas,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
2,7.0,Jerryd Bayless,PG,6-3,200,"August 20, 1988",us,4,University of Arizona,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
3,11.0,Mike Conley,PG,6-1,175,"October 11, 1987",us,5,Ohio State University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
4,32.0,Ed Davis,PF,6-10,225,"June 5, 1989",us,2,University of North Carolina,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
5,5.0,Austin Daye,SF,6-11,220,"June 5, 1988",us,3,Gonzaga University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
6,55.0,Keyon Dooling,PG,6-3,196,"May 8, 1980",us,12,University of Missouri,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
7,3.0,Wayne Ellington,SG,6-5,200,"November 29, 1987",us,3,University of North Carolina,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
8,33.0,Marc Gasol,C,7-1,255,"January 29, 1985",es,4,,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
9,22.0,Rudy Gay,SF,6-8,230,"August 17, 1986",us,6,University of Connecticut,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
10,15.0,Hamed Haddadi,C,7-2,254,"May 19, 1985",ir,4,,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
11,4.0,Chris Johnson,SF,6-6,206,"April 29, 1990",us,R,University of Dayton,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
12,30.0,Jon Leuer,PF,6-10,228,"May 14, 1989",us,1,University of Wisconsin,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
13,45.0,Dexter Pittman,C,6-11,308,"March 2, 1988",us,2,University of Texas at Austin,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
14,20.0,Quincy Pondexter,SF,6-7,230,"March 10, 1988",us,2,University of Washington,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
15,21.0,Tayshaun Prince,SF,6-9,212,"February 28, 1980",us,10,University of Kentucky,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
16,50.0,Zach Randolph,PF,6-9,250,"July 16, 1981",us,11,Michigan State University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
17,2.0,Josh Selby,PG,6-2,183,"March 27, 1991",us,1,University of Kansas,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
18,5.0,Marreese Speights,C,6-10,255,"August 4, 1987",us,4,University of Florida,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
19,1.0,Tony Wroten,SG,6-6,205,"April 13, 1993",us,R,University of Washington,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
0,40.0,Harrison Barnes,SF,6-8,225,"May 30, 1992",us,R,University of North Carolina,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
1,20.0,Kent Bazemore,SG,6-5,201,"July 1, 1989",us,R,Old Dominion University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
2,15.0,Andris Biedriņš,C,6-11,240,"April 2, 1986",lv,8,,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
3,12.0,Andrew Bogut,C,7-0,260,"November 28, 1984",au,7,University of Utah,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
4,30.0,Stephen Curry,PG,6-3,190,"March 14, 1988",us,3,Davidson College,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
5,31.0,Festus Ezeli,C,6-11,255,"October 21, 1989",ng,R,Vanderbilt University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
6,23.0,Draymond Green,SF,6-7,230,"March 4, 1990",us,R,Michigan State University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
7,2.0,Jarrett Jack,SG,6-3,200,"October 28, 1983",us,7,Georgia Institute of Technology,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
8,44.0,Richard Jefferson,SF,6-7,233,"June 21, 1980",us,11,University of Arizona,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
9,22.0,Charles Jenkins,SG,6-3,220,"February 28, 1989",us,1,Hofstra University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
10,,Dwayne Jones,PF,6-11,250,"June 9, 1983",us,5,Saint Joseph's University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
11,7.0,Carl Landry,PF,6-9,248,"September 19, 1983",us,5,Purdue University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
12,10.0,David Lee,PF,6-9,245,"April 29, 1983",us,7,University of Florida,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
13,,Scott Machado,PG,6-1,205,"June 8, 1990",us,R,Iona College,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
14,4.0,Brandon Rush,SF,6-6,220,"July 7, 1985",us,4,University of Kansas,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
15,22.0,Malcolm Thomas,PF,6-9,225,"November 8, 1988",us,1,"Pepperdine University, San Diego State University",C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
16,11.0,Klay Thompson,SG,6-7,215,"February 8, 1990",us,1,Washington State University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
17,3.0,Jeremy Tyler,C,6-10,260,"June 21, 1991",us,1,,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
0,17.0,Lou Amundson,PF,6-9,220,"December 7, 1982",us,6,"University of Nevada, Las Vegas",C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
1,8.0,Marco Belinelli,SG,6-5,210,"March 25, 1986",it,5,,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
2,5.0,Carlos Boozer,PF,6-9,258,"November 20, 1981",de,10,Duke University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
3,21.0,Jimmy Butler,SF,6-8,232,"September 14, 1989",us,1,Marquette University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
4,14.0,Daequan Cook,SG,6-5,205,"April 28, 1987",us,5,Ohio State University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
5,9.0,Luol Deng,SF,6-9,237,"April 16, 1985",ss,8,Duke University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
6,22.0,Taj Gibson,PF,6-9,232,"June 24, 1985",us,3,University of Southern California,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
7,32.0,Richard Hamilton,SG,6-6,185,"February 14, 1978",us,13,University of Connecticut,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
8,12.0,Kirk Hinrich,PG,6-4,190,"January 2, 1981",us,9,University of Kansas,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
9,48.0,Nazr Mohammed,C,6-10,221,"September 5, 1977",us,14,University of Kentucky,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
10,13.0,Joakim Noah,C,6-11,230,"February 25, 1985",us,5,University of Florida,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
11,77.0,Vladimir Radmanović,PF,6-10,227,"November 19, 1980",ba,11,,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
12,2.0,Nate Robinson,PG,5-9,180,"May 31, 1984",us,7,University of Washington,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
13,25.0,Marquis Teague,PG,6-2,189,"February 28, 1993",us,R,University of Kentucky,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
14,3.0,Malcolm Thomas,PF,6-9,225,"November 8, 1988",us,1,"Pepperdine University, San Diego State University",C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
0,8.0,Ronnie Brewer,SF,6-7,220,"March 20, 1985",us,6,University of Arkansas,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
1,4.0,Nick Collison,C,6-10,255,"October 26, 1980",us,8,University of Kansas,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
2,35.0,Kevin Durant,SF,6-9,240,"September 29, 1988",us,5,University of Texas at Austin,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
3,6.0,Derek Fisher,SG,6-1,200,"August 9, 1974",us,16,University of Arkansas at Little Rock,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
4,9.0,Serge Ibaka,PF,6-10,235,"September 18, 1989",cg,3,,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
5,15.0,Reggie Jackson,PG,6-3,208,"April 16, 1990",it,1,Boston College,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
6,3.0,Perry Jones,SF,6-11,235,"September 24, 1991",us,R,Baylor University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
7,11.0,Jeremy Lamb,SF,6-5,185,"May 30, 1992",us,R,University of Connecticut,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
8,25.0,DeAndre Liggins,SG,6-6,209,"March 31, 1988",us,1,University of Kentucky,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
9,23.0,Kevin Martin,SG,6-7,199,"February 1, 1983",us,8,Western Carolina University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
10,6.0,Eric Maynor,PG,6-3,175,"June 11, 1987",us,3,Virginia Commonwealth University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
11,33.0,Daniel Orton,C,6-10,255,"August 6, 1990",us,1,University of Kentucky,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
12,5.0,Kendrick Perkins,C,6-10,270,"November 10, 1984",us,9,,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
13,2.0,Thabo Sefolosha,SG,6-7,220,"May 2, 1984",ch,6,,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
14,34.0,Hasheem Thabeet,C,7-3,263,"February 16, 1987",tz,3,University of Connecticut,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
15,0.0,Russell Westbrook,PG,6-3,200,"November 12, 1988",us,4,"University of California, Los Angeles",C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
0,7.0,Carmelo Anthony,PF,6-8,240,"May 29, 1984",us,9,Syracuse University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
1,42.0,Earl Barron,C,7-0,250,"August 14, 1981",us,6,University of Memphis,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
2,11.0,Ronnie Brewer,SF,6-7,220,"March 20, 1985",us,6,University of Arkansas,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
3,23.0,Marcus Camby,PF,6-11,220,"March 22, 1974",us,16,University of Massachusetts Amherst,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2013.csv
